566	276	1
576	302	1
575	285	1
548	310	1
570	317	1
593	301	1
584	267	1
558	273	1
546	282	1
589	312	1
588	291	1
603	290	1
594	281	1
559	291	1
380	223	2
394	202	2
419	198	2
447	215	2
469	186	2
493	156	2
497	201	2
426	226	2
405	219	2
446	233	2
512	204	2
465	238	2
473	222	2
492	236	2
482	199	2
468	166	2
446	171	2
445	186	2
464	205	2
431	254	2
506	217	2
510	184	2
490	179	2
617	132	3
610	115	3
587	116	3
586	132	3
592	151	3
571	112	3
578	97	3
595	102	3
607	136	3
570	132	3
582	152	3
592	120	3
599	138	3
607	155	3
669	214	4
678	196	4
712	190	4
734	248	4
703	247	4
677	252	4
685	224	4
718	216	4
706	229	4
663	226	4
653	234	4
637	212	4
690	179	4
698	205	4
649	180	4
658	195	4
656	210	4
675	243	4
693	261	4
713	263	4
727	235	4
693	240	4
